idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio,tipo_valor_atipico
4277,18549298.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549298,115000.0,USD,0.0,,27.0,13.0,40.0,38.074074074074076,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/89294581/0967af07-814a-4f43-9014-b777594fc47f_u_small.jpg,images/18549298.jpg,2026-02-05 15:20:17.266945,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,38,5,11.652687407345388,BAJO
4278,18549295.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-1-ambiente--18549295,99000.0,USD,0.0,,27.0,0.0,27.0,38.074074074074076,,1.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/59294581/88f7d493-9f8a-418a-9d62-9a6c738bca40_u_small.jpg,images/18549295.jpg,2026-02-05 15:20:21.438600,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,38,5,11.502875129116727,BAJO
4280,18549296.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-2-ambientes--18549296,130000.0,USD,0.0,,30.0,12.0,42.0,38.074074074074076,,2.0,1.0,Excelente,,,-34.583233,-58.42564,https://www.argenprop.com/static-content/69294581/03331e02-a989-4b5f-95da-2c87d9446bfa_u_small.jpg,images/18549296.jpg,2026-02-05 15:20:31.214344,,0.0,,POINT (-6503912.494071117 -4107387.4232708127),20.0,Palermo,14.0,38,5,11.77528972943772,BAJO
4286,18874914.0,https://www.argenprop.com/departamento-en-venta-en-puerto-madero-2-ambientes--18874914,550000.0,USD,510000.0,,65.0,0.0,65.0,19.5,,2.0,1.0,Excelente,Frente,,-34.617718,-58.362057,https://www.argenprop.com/static-content/41947881/de68fbcb-139e-4d54-9afa-9089278ea1fc_u_small.jpg,images/18874914.jpg,2026-02-05 15:20:59.518934,,1.0,,POINT (-6496834.466888007 -4112051.139852921),26.0,Puerto Madero,1.0,20,5,13.217673557208654,BAJO
4287,18874940.0,https://www.argenprop.com/departamento-en-venta-en-puerto-madero-2-ambientes--18874940,500000.0,USD,510000.0,,60.0,0.0,60.0,19.5,,2.0,1.0,Excelente,Frente,,-34.617718,-58.362057,https://www.argenprop.com/static-content/04947881/d97e39ac-f8c9-46d3-8255-b6c8ebb1d3d5_u_small.jpg,images/18874940.jpg,2026-02-05 15:21:04.091809,,1.0,,POINT (-6496834.466888007 -4112051.139852921),26.0,Puerto Madero,1.0,20,5,13.122363377404328,BAJO
4290,18290156.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-2-ambientes--18290156,92000.0,USD,105000.0,,39.0,6.0,45.0,45.0,,2.0,1.0,Bueno,Frente,N,-34.60094,-58.404823,https://www.argenprop.com/static-content/65109281/aaabe815-48bf-457b-afc7-09b2c74c02be_u_small.jpg,images/18290156.jpg,2026-02-05 15:21:18.143568,,0.0,,POINT (-6501595.156231273 -4109781.8581914282),2.0,Balvanera,3.0,45,3,11.429543856031177,BAJO
4291,18290155.0,https://www.argenprop.com/departamento-en-venta-en-balvanera-2-ambientes--18290155,92000.0,USD,105000.0,,39.0,6.0,45.0,45.0,,2.0,1.0,Bueno,Frente,N,-34.60094,-58.404823,https://www.argenprop.com/static-content/55109281/61dfc779-6e15-44cb-b071-a607249b5f3e_u_small.jpg,images/18290155.jpg,2026-02-05 15:21:22.603623,,0.0,,POINT (-6501595.156231273 -4109781.8581914282),2.0,Balvanera,3.0,45,3,11.429543856031177,BAJO
4304,18782489.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18782489,83000.0,USD,100800.0,,37.0,0.0,37.0,55.0,,2.0,1.0,Bueno,Lateral,,-34.593227,-58.43197,https://www.argenprop.com/static-content/98428781/b4eb5686-e7af-4445-8e2a-66b83b4924e4_u_small.jpg,images/18782489.jpg,2026-02-05 15:22:33.851756,,0.0,,POINT (-6504617.146447836 -4108738.802485846),35.0,Villa Crespo,15.0,55,3,11.326595886778735,BAJO
4305,18782478.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18782478,83000.0,USD,100800.0,,37.0,0.0,37.0,55.0,,2.0,1.0,Bueno,Lateral,,-34.593227,-58.43197,https://www.argenprop.com/static-content/87428781/72a0a2b8-d5a5-4e60-873b-9cf98de71165_u_small.jpg,images/18782478.jpg,2026-02-05 15:22:37.817925,,0.0,,POINT (-6504617.146447836 -4108738.802485846),35.0,Villa Crespo,15.0,55,3,11.326595886778735,BAJO
4333,16676893.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--16676893,144772.0,USD,0.0,Departamento,37.0,6.0,43.0,21.88235294117647,,1.0,1.0,Excelente,Frente,,-34.57273,-58.47506,https://proxy.sosiva451.com/proxy/EDCDD1F84272D23453E60A2E097A8AE1C08EF61C1488684D0F56670BA9A86A10C37FB0DD98A2C0CD0BA7DFE5D969350C3832829D689AEB6ED3369316F4B81527FA1AA904AD53EB75DC0E859ABE3BA93EE570049488EB98A22BCD66DDF9F59748,images/16676893.jpg,2026-02-05 15:26:04.729223,,0.0,,POINT (-6509413.903306119 -4105967.3926812834),47.0,Villa Urquiza,12.0,22,5,11.882915370069586,BAJO
